modality,check,value,status
CFP,csv_rows,11118,info
CFP,jpg_files,11118,info
CFP,missing_image_paths,0,pass
CFP,extra_jpg_not_in_csv,0,pass
CFP,unknown_split_prefix,0,pass
CFP,invalid_grade,0,pass
CFP,exact_duplicate_images,0,not_run
UWF,csv_rows,10404,info
UWF,jpg_files,10404,info
UWF,missing_image_paths,0,pass
UWF,extra_jpg_not_in_csv,0,pass
UWF,unknown_split_prefix,0,pass
UWF,invalid_grade,0,pass
UWF,exact_duplicate_images,0,not_run
OCT,csv_rows,2938,info
OCT,jpg_files,2938,info
OCT,missing_image_paths,0,pass
OCT,extra_jpg_not_in_csv,0,pass
OCT,unknown_split_prefix,0,pass
OCT,invalid_grade,0,pass
OCT,exact_duplicate_images,0,not_run
