threshold,net_benefit,treat_all,treat_none,feature_mode,model,probability_type
0.05,0.021725720713365627,0.030098514123986272,0.0,strict,loop_gaussian_nb,calibrated
0.1,0.012549950847089764,-0.023784901758014496,0.0,strict,loop_gaussian_nb,calibrated
0.15000000000000002,0.0026123513866077204,-0.08400754303789773,0.0,strict,loop_gaussian_nb,calibrated
0.2,-0.007870849132483048,-0.1517580144777663,0.0,strict,loop_gaussian_nb,calibrated
0.25,-0.01951434371289593,-0.22854188210961734,0.0,strict,loop_gaussian_nb,calibrated
0.3,-0.0334859900526912,-0.3162948736888758,0.0,strict,loop_gaussian_nb,calibrated
0.35000000000000003,-0.04877186469740763,-0.41754832551109705,0.0,strict,loop_gaussian_nb,calibrated
0.4,-0.06627982687962007,-0.5356773526370218,0.0,strict,loop_gaussian_nb,calibrated
0.45,-0.08651144328496965,-0.6752843846949327,0.0,strict,loop_gaussian_nb,calibrated
0.5,-0.1107089509364587,-0.8428128231644261,0.0,strict,loop_gaussian_nb,calibrated
0.05,0.030322272416650024,0.030098514123986272,0.0,strict,xgboost,calibrated
0.1,0.014905460441482504,-0.023784901758014496,0.0,strict,xgboost,calibrated
0.15000000000000002,0.007269298619137416,-0.08400754303789773,0.0,strict,xgboost,calibrated
0.2,0.00350453866482822,-0.1517580144777663,0.0,strict,xgboost,calibrated
0.25,0.001838446512696771,-0.22854188210961734,0.0,strict,xgboost,calibrated
0.3,0.0006730027412550675,-0.3162948736888758,0.0,strict,xgboost,calibrated
0.35000000000000003,-0.0002032897586155091,-0.41754832551109705,0.0,strict,xgboost,calibrated
0.4,-0.0011107281014209663,-0.5356773526370218,0.0,strict,xgboost,calibrated
0.45,-0.0017862179185860676,-0.6752843846949327,0.0,strict,xgboost,calibrated
0.5,-0.0021257037803056418,-0.8428128231644261,0.0,strict,xgboost,calibrated
